SiteCode,no2_completeness_pct,pm25_completeness_pct,keep_for_no2,keep_for_pm25
BG1,79.80535279805353,,True,False
BG2,90.05474452554745,,True,False
BL0,48.18658759124087,39.59473844282238,False,False
BQ7,89.80383211678831,74.03056569343066,True,True
BQ9,,93.5066909975669,False,True
BT4,90.25243309002433,95.92077250608273,True,True
BT5,96.28953771289538,45.08059610705596,True,True
BT6,95.90176399026764,39.54151459854015,True,False
BT8,95.43415450121655,43.53710462287105,True,True
BX1,91.13062652068126,,True,False
BX2,94.63199513381994,84.02524330900243,True,True
BY7,89.77341849148418,89.91788321167883,True,True
CD1,38.54166666666667,37.35173357664234,False,False
CE2,84.52326642335767,85.99452554744525,True,True
CR5,94.2404197080292,,True,False
CR7,67.8337895377129,,False,False
CR8,,82.07877128953771,False,True
EA6,95.05398418491484,,True,False
EA8,94.09215328467153,,True,False
EI1,94.64720194647201,,True,False
EI3,18.807025547445257,,False,False
EN1,96.19829683698296,,True,False
EN4,93.07329683698296,,True,False
EN5,96.39978710462287,,True,False
EN7,94.0389294403893,,True,False
GB0,,54.11724452554745,False,True
GB6,82.75547445255475,,True,False
GN0,94.91712287104623,69.03512773722628,True,True
GN3,93.91347323600974,75.9352189781022,True,True
GN4,93.01627128953771,,True,False
GN5,81.53132603406326,,True,False
GN6,93.14172749391727,77.51292579075427,True,True
GR4,31.43248175182482,22.270377128953772,False,False
GR7,93.65495742092457,,True,False
GR8,78.72186739659367,24.06478102189781,True,False
GR9,87.59504257907543,81.53512773722628,True,True
HG1,88.54166666666666,,True,False
HG4,91.77691605839416,,True,False
HI0,45.008363746958636,,False,False
HK6,37.507603406326034,12.59124087591241,False,False
HP1,95.1338199513382,96.35796836982968,True,True
HV1,95.63184306569343,59.580291970802925,True,True
HV3,96.05763381995133,,True,False
IS2,91.32071167883211,,True,False
IS6,95.6926703163017,,True,False
KC1,90.8264902676399,72.9242700729927,True,True
KF1,,0.8211678832116789,False,False
LB4,95.74209245742092,82.50076034063261,True,True
LB5,47.48707420924575,,False,False
LB6,86.6978406326034,,True,False
LH0,7.010340632603407,7.025547445255474,False,False
LW2,85.23038321167883,61.66742700729927,True,True
LW4,93.44586374695864,,True,False
LW5,93.31660583941606,93.76140510948905,True,True
LW6,90.82268856447688,,True,False
ME9,85.86146593673966,,True,False
MR8,,26.95027372262774,False,False
MY1,90.18780413625304,,True,False
RI1,89.3058090024331,,True,False
RI2,62.49619829683698,,False,False
SK5,92.35857664233576,,True,False
SK6,86.50775547445255,90.13838199513383,True,True
SK8,96.13366788321169,96.19069343065694,True,True
SK9,,95.12241484184915,False,True
SKA,83.91499391727494,96.12226277372264,True,True
SKB,91.38914233576642,93.02387469586375,True,True
SKC,92.04683698296837,88.35158150851582,True,True
TD5,,37.54181873479319,False,False
TH2,93.4610705596107,,True,False
TH4,84.10127737226277,70.83333333333334,True,True
TL4,69.27843673965937,,False,False
TL5,87.35553527980535,,True,False
TL6,85.27220194647201,77.07953163017032,True,True
WA7,33.435979318734795,1.9388686131386863,False,False
WA9,31.94571167883212,2.824665450121654,False,False
WAA,67.33956812652067,10.96411192214112,False,False
WAB,67.5220498783455,,False,False
WAC,20.460766423357665,4.478406326034063,False,False
WM0,49.34230535279806,35.34823600973236,False,False
WM5,82.8125,31.371654501216543,True,False
WM6,96.30474452554745,28.99178832116788,True,False
WMD,96.08424574209245,94.42670316301704,True,True
