id,count_point_id,year,region_id,local_authority_id,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
8392,6000,2022,6,57,M1,TM,Major,A406,M1 spur,522170,189100,51.58752235,-0.23792714,4.1,2.5,Counted,Automatic counter,0,415,33221,366,11230,2541,212,488,203,236,945,4625,49857
8418,6001,2022,6,57,M1,TM,Major,2,4,520150,194300,51.63468919,-0.26529185,6.8,4.2,Counted,Manual count,0,495,48062,354,11275,1639,173,374,126,253,803,3369,63555
8638,6013,2022,6,66,M4,TM,Major,4,3,508900,178400,51.49406628,-0.43270171,2.9,1.8,Counted,Manual count,0,701,97160,540,17157,3224,393,983,216,463,1317,6595,122153
9663,6071,2022,6,93,A12,PA,Major,A13,A11,538180,181800,51.51822828,-0.00983855,2.1,1.3,Estimated,Estimated using AADF from previous year on this link,148,2076,68415,329,20139,2851,409,1234,113,75,510,5193,96151
9741,6075,2022,6,96,A1,PA,Major,A503 Camden Road,A503 Seven Sisters/Parkhurst Road,530600,185870,51.55660633,-0.11751325,0.2,0.1,Counted,Manual count,2727,2041,17747,1205,5135,805,62,55,44,34,37,1037,27164
9767,6076,2022,6,57,A1,PA,Major,A406,A598 Regent's Park Road,524500,189330,51.58907965,-0.20423154,0.5,0.3,Counted,Manual count,118,2293,80862,615,19832,3149,244,567,128,210,805,5104,108705
9793,6077,2022,6,57,A1,PA,Major,Courtland Avenue,A411 Barnet Road,520760,195000,51.64084978,-0.25624030,1.9,1.2,Counted,Automatic counter,81,639,43769,229,11533,1423,175,388,107,219,324,2635,58806
10024,6094,2022,6,103,A2,PA,Major,A3/A2198,A201/A100,532700,179360,51.49761384,-0.08969038,1.0,0.6,Estimated,Estimated using AADF from previous year on this link,1709,1373,6600,328,3303,268,56,56,26,18,12,437,12041
10050,6095,2022,6,104,A2,PA,Major,A2 Amersham Rd,A2209,537013,176993,51.47531469,-0.02851362,0.6,0.4,Estimated,Estimated using AADF from previous year on this link,1127,1395,16997,1021,5131,606,135,294,88,169,232,1523,26068
10076,6096,2022,6,105,A2,PA,Major,A2213,A102,540600,177000,51.47449850,0.02310386,0.3,0.2,Counted,Manual count,158,1222,24420,692,6974,1173,159,654,52,58,333,2428,35737
10102,6097,2022,6,106,A2,PA,Major,A223,LA Boundary,550000,174100,51.44602939,0.15712410,1.3,0.8,Counted,Manual count,10,967,76031,444,16755,2438,276,757,202,263,1073,5009,99206
10232,6107,2022,6,103,A3,PA,Major,A3202,A2,532300,179615,51.49999911,-0.09535385,0.4,0.2,Counted,Manual count,6715,1773,7483,1139,3070,404,27,149,14,1,40,635,14100
10258,6108,2022,6,107,A3,PA,Major,A23,A3204,531400,178000,51.48569524,-0.10891335,0.9,0.6,Estimated,Estimated using AADF from previous year on this link,4317,2086,12393,923,5440,311,35,81,17,24,17,484,21326
10284,6109,2022,6,108,A3,PA,Major,A205,A3216,528400,175200,51.46122023,-0.15311220,0.6,0.4,Estimated,Estimated using AADF from previous year on this link,2058,1486,11965,631,3211,686,52,78,19,27,41,904,18196
10310,6111,2022,6,108,A3,PA,Major,A205,A218,525000,174600,51.45658789,-0.20224026,0.4,0.2,Estimated,Estimated using AADF from previous year on this link,921,2545,26838,816,7316,1041,110,124,45,51,153,1525,39040
10384,6120,2022,6,109,A4,PA,Major,Hyde Park Corner,St James St,528900,180220,51.50622100,-0.14408857,0.9,0.6,Counted,Automatic counter,2496,4263,29881,3130,7820,1332,159,83,41,11,56,1682,46776
10410,6121,2022,6,110,A4,PA,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.49474172,-0.18633361,1.7,1.1,Counted,Manual count,706,1609,33394,674,6063,1071,71,103,13,39,38,1336,43076
10436,6122,2022,6,111,A4,PA,Major,M4 jn2,A406,519200,178420,51.49217015,-0.28439277,1.2,0.7,Counted,Manual count,730,1348,38687,359,6308,1143,85,297,47,86,258,1915,48616
10462,6123,2022,6,111,A4,PA,Major,A312,A30,511000,176600,51.47747919,-0.40302879,0.8,0.5,Estimated,Estimated using AADF from previous year on this link,178,735,25387,670,5075,931,117,169,39,33,159,1447,33313
10488,6124,2022,9,112,A4,PA,Major,"Sutton Lane, Colnbrook",LA Boundary,504000,177150,51.48375265,-0.50362698,2.7,1.7,Estimated,Estimated using AADF from previous year on this link,41,338,10267,119,2479,843,165,420,22,154,317,1920,15122
10900,6150,2022,6,57,A5,PA,Major,A410,A5100,519000,191950,51.61381287,-0.28269811,1.5,0.9,Estimated,Estimated using AADF from previous year on this link,107,221,11494,214,1772,117,15,15,17,14,38,216,13916
10942,6152,2022,6,109,A5,PA,Major,Sussex Gdns,Seymour St,527500,181240,51.51570504,-0.16388112,0.6,0.4,Estimated,Estimated using AADF from previous year on this link,1874,1467,16199,2209,4658,614,112,89,31,16,42,904,25437
11311,6178,2022,7,78,M25,TM,Major,23,22,521708,201110,51.69555704,-0.24042132,4.8,3.0,Counted,Automatic counter,0,270,88764,226,32489,4477,843,1189,585,6726,9577,23397,145145
11443,6188,2022,6,121,A10,PA,Major,LA Boundary,A406,532600,192000,51.61122594,-0.08636944,1.0,0.6,Counted,Automatic counter,211,778,31176,777,7244,475,102,83,13,62,81,815,40790
11469,6190,2022,6,122,A10,PA,Major,A1202,A1209,533470,182230,51.52322398,-0.07751827,0.1,0.1,Estimated,Estimated using AADF from previous year on this link,5485,2059,12321,2258,3919,309,72,57,15,8,6,467,21024
11495,6198,2022,7,123,A104,PA,Major,A1069,A121,541000,196400,51.64872307,0.03663458,4.6,2.9,Counted,Manual count,185,186,12924,15,2424,93,4,8,4,14,7,130,15678
