id,count_point_id,aadf_year,region_id,local_authority_id,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
6000,6000,2025,6,57,M1,TM,Major,A406,M1 spur,522159,188332,51.5806225,-0.23835295,4.1,2.5
6001,6001,2025,6,57,M1,TM,Major,2,4,520150,194300,51.63468919,-0.26529185,6.8,4.2
6013,6013,2025,6,66,M4,TM,Major,4,3,508900,178400,51.49406628,-0.43270171,2.9,1.8
6071,6071,2025,6,93,A12,PA,Major,A13,A11,538180,181800,51.51822828,-0.00983855,2.1,1.3
6075,6075,2025,6,96,A1,PA,Major,A503 Camden Road,A503 Seven Sisters/Parkhurst Road,530600,185870,51.55660633,-0.11751325,0.2,0.1
6076,6076,2025,6,57,A1,PA,Major,A406,A598 Regent's Park Road,524500,189330,51.58907965,-0.20423154,0.5,0.3
6077,6077,2025,6,57,A1,PA,Major,Courtland Avenue,A411 Barnet Road,520760,195000,51.64084978,-0.2562403,1.9,1.2
6094,6094,2025,6,103,A2,PA,Major,A3/A2198,A201/A100,532700,179360,51.49761384,-0.08969038,1.0,0.6
6095,6095,2025,6,104,A2,PA,Major,A2 Amersham Rd,A2209,537013,176993,51.47531469,-0.02851362,0.6,0.4
6096,6096,2025,6,105,A2,PA,Major,A2213,A102,540600,177000,51.4744985,0.02310386,0.3,0.2
6097,6097,2025,6,106,A2,PA,Major,A223,LA Boundary,550000,174100,51.44602939,0.1571241,1.3,0.8
6107,6107,2025,6,103,A3,PA,Major,A3202,A2,532300,179615,51.49999911,-0.09535385,0.4,0.2
6108,6108,2025,6,107,A3,PA,Major,A23,A3204,531400,178000,51.48569524,-0.10891335,0.9,0.6
6109,6109,2025,6,108,A3,PA,Major,A205,A3216,528400,175200,51.46122023,-0.1531122,0.6,0.4
6111,6111,2025,6,108,A3,PA,Major,A205,A218,525000,174600,51.45658789,-0.20224026,0.4,0.2
6119,6119,2021,6,109,A4,PA,Major,Aldwych,LA Boundary,531060,181090,51.51354319,-0.1126601,0.3,0.2
6120,6120,2025,6,109,A4,PA,Major,Hyde Park Corner,St James St,528900,180220,51.506221,-0.14408857,0.9,0.6
6121,6121,2025,6,110,A4,PA,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.49474172,-0.18633361,1.7,1.1
6122,6122,2025,6,111,A4,PA,Major,M4 jn2,A406,519200,178420,51.49217015,-0.28439277,1.2,0.7
6123,6123,2025,6,111,A4,PA,Major,A312,A30,511000,176600,51.47747919,-0.40302879,0.8,0.5
6124,6124,2024,9,112,A4,PA,Major,"Sutton Lane, Colnbrook",LA Boundary,504000,177150,51.48375265,-0.50362698,2.7,1.7
6150,6150,2025,6,57,A5,PA,Major,A410,A5100,519000,191950,51.61381287,-0.28269811,1.5,0.9
6151,6151,2015,6,118,A5,PA,Major,A406,A407,522850,186950,51.56805206,-0.22886896,2.0,1.2
6152,6152,2025,6,109,A5,PA,Major,Sussex Gdns,Seymour St,527500,181240,51.51570504,-0.16388112,0.6,0.4
6178,6178,2025,7,78,M25,TM,Major,23,22,521708,201110,51.69555704,-0.24042132,4.8,3.0
6188,6188,2025,6,121,A10,PA,Major,LA Boundary,A406,532600,192000,51.61122594,-0.08636944,1.0,0.6
6190,6190,2025,6,122,A10,PA,Major,A1202,A1209,533470,182230,51.52322398,-0.07751827,0.1,0.1
6198,6198,2025,7,123,A104,PA,Major,A1069,A121,541000,196400,51.64872307,0.03663458,4.6,2.9
6199,6199,2025,6,124,A1199,PA,Major,Snaresbrook Rd,A104 roundabout,540000,190970,51.6001799,0.02002169,2.6,1.6
6200,6200,2010,6,125,A11,PA,Major,Gainsborough Rd,Bush Rd,539700,187650,51.57042207,0.01437412,0.3,0.2
6201,6201,2025,6,93,A11,PA,Major,A1205,A12,537000,182730,51.52687238,-0.02647324,1.5,0.9
6216,6216,2025,6,93,A13,PA,Major,A1206,A102,538200,181030,51.51130381,-0.00985234,0.2,0.1
6242,6242,2025,6,104,A20,PA,Major,Amersham Rd,A2210,537600,176000,51.46624886,-0.02045341,1.6,1.0
6243,6243,2025,6,105,A20,PA,Major,A205,A208,542000,173300,51.44090149,0.04176492,2.1,1.3
6252,6252,2025,6,104,A21,PA,Major,A2218,A205,538100,172000,51.43018219,-0.01481927,1.9,1.2
6266,6266,2025,6,107,A23,PA,Major,A203,A202,531200,176000,51.46776818,-0.11253378,1.7,1.1
6267,6267,2025,6,107,A23,PA,Major,A214,A216,530030,171600,51.4284956,-0.13098323,0.2,0.1
6268,6268,2025,6,134,A23,PA,Major,Epsom Rd,Croydon Rd,531060,164800,51.36714802,-0.11868563,0.1,0.1
6425,6425,2025,6,145,A40,PA,Major,Procter St,Gray's Inn Rd,531000,181610,51.51823022,-0.1133311,0.5,0.3
6426,6426,2025,6,109,A40,PA,Major,Orchard St,Regent St,528500,181100,51.51422052,-0.1495283,0.8,0.5
6428,6428,2025,6,146,A219,PA,Major,A40,Uxbridge Rd,523300,180500,51.50998578,-0.22463795,1.1,0.7
6429,6429,2025,6,147,A40,PA,Major,A312,A4127,514000,183445,51.53840525,-0.35763746,2.3,1.4
6456,6456,2025,7,78,A41,PA,Major,B462,A4008 / M25 J5,513140,197800,51.66759988,-0.36540428,1.0,0.6
6458,6458,2025,6,57,A41,PA,Major,A407,A406,524000,187540,51.57310296,-0.21207729,2.1,1.3
6459,6459,2025,6,109,A41,PA,Major,York St,Portman Sq (north),528000,181700,51.51972609,-0.15651218,0.5,0.3
6625,6625,2025,6,103,A100,PA,Major,A2,A2206,533200,179200,51.49605849,-0.08255197,0.4,0.2
6627,6627,2025,6,165,A103,PA,Major,Middle Lane,Church Lane,530650,189000,51.58472257,-0.1156303,0.9,0.6
6629,6629,2025,6,122,A107,PA,Major,Downs Rd,Lea Bridge Rd,534880,186000,51.55676715,-0.0557635,0.3,0.2
