@SpeciesCode,@MeasurementDateGMT,@Value,SiteCode
NO2,2023-01-01 00:00:00,4.9,CR5
NO2,2023-01-01 01:00:00,5.3,CR5
NO2,2023-01-01 02:00:00,4.2,CR5
NO2,2023-01-01 03:00:00,3.4,CR5
NO2,2023-01-01 04:00:00,3.6,CR5
NO2,2023-01-01 05:00:00,3.3,CR5
NO2,2023-01-01 06:00:00,4,CR5
NO2,2023-01-01 07:00:00,4,CR5
NO2,2023-01-01 08:00:00,8.1,CR5
NO2,2023-01-01 09:00:00,5.1,CR5
NO2,2023-01-01 10:00:00,7.5,CR5
NO2,2023-01-01 11:00:00,6.1,CR5
NO2,2023-01-01 12:00:00,14.4,CR5
NO2,2023-01-01 13:00:00,16.7,CR5
NO2,2023-01-01 14:00:00,18.6,CR5
NO2,2023-01-01 15:00:00,16.1,CR5
NO2,2023-01-01 16:00:00,15.1,CR5
NO2,2023-01-01 17:00:00,50.1,CR5
NO2,2023-01-01 18:00:00,34.2,CR5
NO2,2023-01-01 19:00:00,25.7,CR5
NO2,2023-01-01 20:00:00,39.2,CR5
NO2,2023-01-01 21:00:00,24.4,CR5
NO2,2023-01-01 22:00:00,39.6,CR5
NO2,2023-01-01 23:00:00,31.6,CR5
NO2,2023-01-02 00:00:00,35.6,CR5
NO2,2023-01-02 01:00:00,24.4,CR5
NO2,2023-01-02 02:00:00,16.8,CR5
NO2,2023-01-02 03:00:00,10.3,CR5
NO2,2023-01-02 04:00:00,18.8,CR5
NO2,2023-01-02 05:00:00,18.2,CR5
NO2,2023-01-02 06:00:00,12.6,CR5
NO2,2023-01-02 07:00:00,16.6,CR5
NO2,2023-01-02 08:00:00,25.5,CR5
NO2,2023-01-02 09:00:00,37.8,CR5
NO2,2023-01-02 10:00:00,27.2,CR5
NO2,2023-01-02 11:00:00,21.8,CR5
NO2,2023-01-02 12:00:00,26.5,CR5
NO2,2023-01-02 13:00:00,28,CR5
NO2,2023-01-02 14:00:00,25.7,CR5
NO2,2023-01-02 15:00:00,32.2,CR5
NO2,2023-01-02 16:00:00,57.4,CR5
NO2,2023-01-02 17:00:00,69.6,CR5
NO2,2023-01-02 18:00:00,59,CR5
NO2,2023-01-02 19:00:00,68.7,CR5
NO2,2023-01-02 20:00:00,64.8,CR5
NO2,2023-01-02 21:00:00,65.8,CR5
NO2,2023-01-02 22:00:00,58.5,CR5
NO2,2023-01-02 23:00:00,63.5,CR5
NO2,2023-01-03 00:00:00,58.4,CR5
NO2,2023-01-03 01:00:00,36.7,CR5
NO2,2023-01-03 02:00:00,24.5,CR5
NO2,2023-01-03 03:00:00,14.3,CR5
NO2,2023-01-03 04:00:00,17.7,CR5
NO2,2023-01-03 05:00:00,21.2,CR5
NO2,2023-01-03 06:00:00,40.1,CR5
NO2,2023-01-03 07:00:00,46.8,CR5
NO2,2023-01-03 08:00:00,41.2,CR5
NO2,2023-01-03 09:00:00,26.2,CR5
NO2,2023-01-03 10:00:00,18.8,CR5
NO2,2023-01-03 11:00:00,22.6,CR5
NO2,2023-01-03 12:00:00,14.9,CR5
NO2,2023-01-03 13:00:00,18.6,CR5
NO2,2023-01-03 14:00:00,21.4,CR5
NO2,2023-01-03 15:00:00,23,CR5
NO2,2023-01-03 16:00:00,19.3,CR5
NO2,2023-01-03 17:00:00,13.7,CR5
NO2,2023-01-03 18:00:00,12.2,CR5
NO2,2023-01-03 19:00:00,11.4,CR5
NO2,2023-01-03 20:00:00,17.2,CR5
NO2,2023-01-03 21:00:00,14.4,CR5
NO2,2023-01-03 22:00:00,5.8,CR5
NO2,2023-01-03 23:00:00,3.7,CR5
NO2,2023-01-04 00:00:00,2.8,CR5
NO2,2023-01-04 01:00:00,2.7,CR5
NO2,2023-01-04 02:00:00,1.6,CR5
NO2,2023-01-04 03:00:00,1.5,CR5
NO2,2023-01-04 04:00:00,1.9,CR5
NO2,2023-01-04 05:00:00,2.9,CR5
NO2,2023-01-04 06:00:00,5.9,CR5
NO2,2023-01-04 07:00:00,12,CR5
NO2,2023-01-04 08:00:00,16.8,CR5
NO2,2023-01-04 09:00:00,14.4,CR5
NO2,2023-01-04 10:00:00,15.2,CR5
NO2,2023-01-04 11:00:00,14.8,CR5
NO2,2023-01-04 12:00:00,,CR5
NO2,2023-01-04 13:00:00,15.6,CR5
NO2,2023-01-04 14:00:00,16.1,CR5
