@SpeciesCode,@MeasurementDateGMT,@Value,SiteCode
NO2,2022-01-01 00:00:00,4.4,HG4
NO2,2022-01-01 01:00:00,3.6,HG4
NO2,2022-01-01 02:00:00,4,HG4
NO2,2022-01-01 03:00:00,3.3,HG4
NO2,2022-01-01 04:00:00,2.3,HG4
NO2,2022-01-01 05:00:00,2.3,HG4
NO2,2022-01-01 06:00:00,2.5,HG4
NO2,2022-01-01 07:00:00,3.6,HG4
NO2,2022-01-01 08:00:00,2.9,HG4
NO2,2022-01-01 09:00:00,3.1,HG4
NO2,2022-01-01 10:00:00,4,HG4
NO2,2022-01-01 11:00:00,4.2,HG4
NO2,2022-01-01 12:00:00,5.4,HG4
NO2,2022-01-01 13:00:00,5.9,HG4
NO2,2022-01-01 14:00:00,6.3,HG4
NO2,2022-01-01 15:00:00,7.3,HG4
NO2,2022-01-01 16:00:00,6.3,HG4
NO2,2022-01-01 17:00:00,6.7,HG4
NO2,2022-01-01 18:00:00,7.1,HG4
NO2,2022-01-01 19:00:00,6.9,HG4
NO2,2022-01-01 20:00:00,8.2,HG4
NO2,2022-01-01 21:00:00,8.6,HG4
NO2,2022-01-01 22:00:00,5.9,HG4
NO2,2022-01-01 23:00:00,4.2,HG4
NO2,2022-01-02 00:00:00,3.8,HG4
NO2,2022-01-02 01:00:00,2.7,HG4
NO2,2022-01-02 02:00:00,2.7,HG4
NO2,2022-01-02 03:00:00,2.3,HG4
NO2,2022-01-02 04:00:00,3.3,HG4
NO2,2022-01-02 05:00:00,2.5,HG4
NO2,2022-01-02 06:00:00,2.1,HG4
NO2,2022-01-02 07:00:00,9.2,HG4
NO2,2022-01-02 08:00:00,16.1,HG4
NO2,2022-01-02 09:00:00,7.8,HG4
NO2,2022-01-02 10:00:00,11.3,HG4
NO2,2022-01-02 11:00:00,16.4,HG4
NO2,2022-01-02 12:00:00,13.6,HG4
NO2,2022-01-02 13:00:00,8.4,HG4
NO2,2022-01-02 14:00:00,5.9,HG4
NO2,2022-01-02 15:00:00,6.7,HG4
NO2,2022-01-02 16:00:00,9.9,HG4
NO2,2022-01-02 17:00:00,9.6,HG4
NO2,2022-01-02 18:00:00,10.9,HG4
NO2,2022-01-02 19:00:00,16.4,HG4
NO2,2022-01-02 20:00:00,9.4,HG4
NO2,2022-01-02 21:00:00,4.6,HG4
NO2,2022-01-02 22:00:00,3.4,HG4
