@SpeciesCode,@MeasurementDateGMT,@Value,SiteCode
FINE,2022-05-01 00:00:00,11.3,HP1
FINE,2022-05-01 01:00:00,10.8,HP1
FINE,2022-05-01 02:00:00,11.1,HP1
FINE,2022-05-01 03:00:00,10.9,HP1
FINE,2022-05-01 04:00:00,10.6,HP1
FINE,2022-05-01 05:00:00,10.4,HP1
FINE,2022-05-01 06:00:00,10.3,HP1
FINE,2022-05-01 07:00:00,9.2,HP1
FINE,2022-05-01 08:00:00,7.3,HP1
FINE,2022-05-01 09:00:00,7.5,HP1
FINE,2022-05-01 10:00:00,8,HP1
FINE,2022-05-01 11:00:00,8,HP1
FINE,2022-05-01 12:00:00,10.4,HP1
FINE,2022-05-01 13:00:00,13.7,HP1
FINE,2022-05-01 14:00:00,12.1,HP1
FINE,2022-05-01 15:00:00,9.9,HP1
FINE,2022-05-01 16:00:00,8.1,HP1
FINE,2022-05-01 17:00:00,7,HP1
FINE,2022-05-01 18:00:00,7.3,HP1
FINE,2022-05-01 19:00:00,8.3,HP1
FINE,2022-05-01 20:00:00,11.4,HP1
FINE,2022-05-01 21:00:00,11.2,HP1
FINE,2022-05-01 22:00:00,8.3,HP1
FINE,2022-05-01 23:00:00,8.8,HP1
FINE,2022-05-02 00:00:00,7.2,HP1
FINE,2022-05-02 01:00:00,7.4,HP1
FINE,2022-05-02 02:00:00,6.3,HP1
FINE,2022-05-02 03:00:00,7.1,HP1
FINE,2022-05-02 04:00:00,8.5,HP1
FINE,2022-05-02 05:00:00,11.6,HP1
FINE,2022-05-02 06:00:00,14.2,HP1
FINE,2022-05-02 07:00:00,16.2,HP1
FINE,2022-05-02 08:00:00,9.3,HP1
FINE,2022-05-02 09:00:00,11.3,HP1
FINE,2022-05-02 10:00:00,10.2,HP1
FINE,2022-05-02 11:00:00,9.1,HP1
FINE,2022-05-02 12:00:00,9.5,HP1
FINE,2022-05-02 13:00:00,8.5,HP1
FINE,2022-05-02 14:00:00,8.9,HP1
FINE,2022-05-02 15:00:00,8.7,HP1
FINE,2022-05-02 16:00:00,10.9,HP1
FINE,2022-05-02 17:00:00,10.8,HP1
FINE,2022-05-02 18:00:00,10.4,HP1
FINE,2022-05-02 19:00:00,14,HP1
FINE,2022-05-02 20:00:00,18.5,HP1
FINE,2022-05-02 21:00:00,15.9,HP1
FINE,2022-05-02 22:00:00,13.7,HP1
FINE,2022-05-02 23:00:00,15.3,HP1
FINE,2022-05-03 00:00:00,17.1,HP1
FINE,2022-05-03 01:00:00,16.7,HP1
FINE,2022-05-03 02:00:00,15.6,HP1
FINE,2022-05-03 03:00:00,14.7,HP1
FINE,2022-05-03 04:00:00,16.6,HP1
FINE,2022-05-03 05:00:00,19.8,HP1
FINE,2022-05-03 06:00:00,18.9,HP1
FINE,2022-05-03 07:00:00,19.1,HP1
FINE,2022-05-03 08:00:00,19.8,HP1
FINE,2022-05-03 09:00:00,19.1,HP1
FINE,2022-05-03 10:00:00,15.2,HP1
FINE,2022-05-03 11:00:00,16.5,HP1
FINE,2022-05-03 12:00:00,19.7,HP1
FINE,2022-05-03 13:00:00,22,HP1
FINE,2022-05-03 14:00:00,21.4,HP1
FINE,2022-05-03 15:00:00,20.5,HP1
FINE,2022-05-03 16:00:00,15.7,HP1
FINE,2022-05-03 17:00:00,17.6,HP1
FINE,2022-05-03 18:00:00,17.8,HP1
FINE,2022-05-03 19:00:00,17.3,HP1
FINE,2022-05-03 20:00:00,18.1,HP1
FINE,2022-05-03 21:00:00,17.2,HP1
FINE,2022-05-03 22:00:00,18.8,HP1
FINE,2022-05-03 23:00:00,19.5,HP1
FINE,2022-05-04 00:00:00,19.6,HP1
FINE,2022-05-04 01:00:00,21.1,HP1
FINE,2022-05-04 02:00:00,26.5,HP1
FINE,2022-05-04 03:00:00,22.7,HP1
FINE,2022-05-04 04:00:00,21.8,HP1
FINE,2022-05-04 05:00:00,24.7,HP1
FINE,2022-05-04 06:00:00,28.5,HP1
FINE,2022-05-04 07:00:00,32.6,HP1
FINE,2022-05-04 08:00:00,31.3,HP1
FINE,2022-05-04 09:00:00,24.7,HP1
FINE,2022-05-04 10:00:00,17.3,HP1
FINE,2022-05-04 11:00:00,14.7,HP1
FINE,2022-05-04 12:00:00,11.2,HP1
FINE,2022-05-04 13:00:00,8.6,HP1
FINE,2022-05-04 14:00:00,7.5,HP1
FINE,2022-05-04 15:00:00,5.2,HP1
FINE,2022-05-04 16:00:00,4.9,HP1
FINE,2022-05-04 17:00:00,5.2,HP1
FINE,2022-05-04 18:00:00,5.6,HP1
FINE,2022-05-04 19:00:00,4.4,HP1
FINE,2022-05-04 20:00:00,4.9,HP1
FINE,2022-05-04 21:00:00,4.3,HP1
FINE,2022-05-04 22:00:00,5.1,HP1
FINE,2022-05-04 23:00:00,6.5,HP1
FINE,2022-05-05 00:00:00,6.3,HP1
FINE,2022-05-05 01:00:00,6.4,HP1
FINE,2022-05-05 02:00:00,6.7,HP1
FINE,2022-05-05 03:00:00,7.7,HP1
FINE,2022-05-05 04:00:00,8.2,HP1
