@SpeciesCode,@MeasurementDateGMT,@Value,SiteCode
NO2,2022-01-01 00:00:00,15.6,HV1
NO2,2022-01-01 01:00:00,6.8,HV1
NO2,2022-01-01 02:00:00,6.1,HV1
NO2,2022-01-01 03:00:00,5,HV1
NO2,2022-01-01 04:00:00,5.2,HV1
NO2,2022-01-01 05:00:00,6.8,HV1
NO2,2022-01-01 06:00:00,12.7,HV1
NO2,2022-01-01 07:00:00,6.7,HV1
NO2,2022-01-01 08:00:00,14.2,HV1
NO2,2022-01-01 09:00:00,13.2,HV1
NO2,2022-01-01 10:00:00,7.9,HV1
NO2,2022-01-01 11:00:00,9.1,HV1
NO2,2022-01-01 12:00:00,12.9,HV1
NO2,2022-01-01 13:00:00,20.9,HV1
NO2,2022-01-01 14:00:00,14.1,HV1
NO2,2022-01-01 15:00:00,14.6,HV1
NO2,2022-01-01 16:00:00,14.1,HV1
NO2,2022-01-01 17:00:00,15.3,HV1
NO2,2022-01-01 18:00:00,15.1,HV1
NO2,2022-01-01 19:00:00,20.4,HV1
NO2,2022-01-01 20:00:00,15.5,HV1
NO2,2022-01-01 21:00:00,10,HV1
NO2,2022-01-01 22:00:00,11.6,HV1
NO2,2022-01-01 23:00:00,8.1,HV1
NO2,2022-01-02 00:00:00,8.7,HV1
NO2,2022-01-02 01:00:00,8.2,HV1
NO2,2022-01-02 02:00:00,3.2,HV1
NO2,2022-01-02 03:00:00,3.2,HV1
NO2,2022-01-02 04:00:00,3.9,HV1
NO2,2022-01-02 05:00:00,4.7,HV1
NO2,2022-01-02 06:00:00,4.5,HV1
NO2,2022-01-02 07:00:00,16.6,HV1
NO2,2022-01-02 08:00:00,10.5,HV1
NO2,2022-01-02 09:00:00,10.9,HV1
NO2,2022-01-02 10:00:00,14.7,HV1
NO2,2022-01-02 11:00:00,21.5,HV1
NO2,2022-01-02 12:00:00,20.4,HV1
NO2,2022-01-02 13:00:00,19.7,HV1
NO2,2022-01-02 14:00:00,16,HV1
NO2,2022-01-02 15:00:00,12.6,HV1
NO2,2022-01-02 16:00:00,18.1,HV1
NO2,2022-01-02 17:00:00,15.4,HV1
NO2,2022-01-02 18:00:00,17.2,HV1
NO2,2022-01-02 19:00:00,20.3,HV1
NO2,2022-01-02 20:00:00,17.7,HV1
NO2,2022-01-02 21:00:00,16.2,HV1
NO2,2022-01-02 22:00:00,15.1,HV1
NO2,2022-01-02 23:00:00,11.9,HV1
NO2,2022-01-03 00:00:00,11.8,HV1
