@SpeciesCode,@MeasurementDateGMT,@Value,SiteCode
NO2,2022-09-01 00:00:00,9.3,LB5
NO2,2022-09-01 01:00:00,5.6,LB5
NO2,2022-09-01 02:00:00,4.2,LB5
NO2,2022-09-01 03:00:00,4.2,LB5
NO2,2022-09-01 04:00:00,6,LB5
NO2,2022-09-01 05:00:00,13.9,LB5
NO2,2022-09-01 06:00:00,23.2,LB5
NO2,2022-09-01 07:00:00,23.2,LB5
NO2,2022-09-01 08:00:00,20.7,LB5
NO2,2022-09-01 09:00:00,24.2,LB5
NO2,2022-09-01 10:00:00,26.9,LB5
NO2,2022-09-01 11:00:00,25.6,LB5
NO2,2022-09-01 12:00:00,25.5,LB5
NO2,2022-09-01 13:00:00,17.9,LB5
NO2,2022-09-01 14:00:00,21.6,LB5
NO2,2022-09-01 15:00:00,24.6,LB5
NO2,2022-09-01 16:00:00,21.6,LB5
NO2,2022-09-01 17:00:00,20.3,LB5
NO2,2022-09-01 18:00:00,24.1,LB5
NO2,2022-09-01 19:00:00,21.3,LB5
NO2,2022-09-01 20:00:00,22.9,LB5
NO2,2022-09-01 21:00:00,26,LB5
NO2,2022-09-01 22:00:00,31.5,LB5
NO2,2022-09-01 23:00:00,37.3,LB5
NO2,2022-09-02 00:00:00,41.6,LB5
NO2,2022-09-02 01:00:00,31.1,LB5
NO2,2022-09-02 02:00:00,26.6,LB5
NO2,2022-09-02 03:00:00,24.1,LB5
NO2,2022-09-02 04:00:00,19.7,LB5
NO2,2022-09-02 05:00:00,30.1,LB5
NO2,2022-09-02 06:00:00,41.1,LB5
NO2,2022-09-02 07:00:00,45.2,LB5
NO2,2022-09-02 08:00:00,44.2,LB5
NO2,2022-09-02 09:00:00,47.4,LB5
NO2,2022-09-02 10:00:00,37.7,LB5
NO2,2022-09-02 11:00:00,34,LB5
NO2,2022-09-02 12:00:00,25.3,LB5
NO2,2022-09-02 13:00:00,28.4,LB5
NO2,2022-09-02 14:00:00,30.6,LB5
NO2,2022-09-02 15:00:00,37.3,LB5
NO2,2022-09-02 16:00:00,44,LB5
NO2,2022-09-02 17:00:00,59.1,LB5
NO2,2022-09-02 18:00:00,43.6,LB5
NO2,2022-09-02 19:00:00,39.9,LB5
NO2,2022-09-02 20:00:00,43.9,LB5
NO2,2022-09-02 21:00:00,32.8,LB5
NO2,2022-09-02 22:00:00,36.5,LB5
NO2,2022-09-02 23:00:00,43.2,LB5
NO2,2022-09-03 00:00:00,36.1,LB5
NO2,2022-09-03 01:00:00,32.2,LB5
NO2,2022-09-03 02:00:00,23.7,LB5
NO2,2022-09-03 03:00:00,20.5,LB5
NO2,2022-09-03 04:00:00,31.5,LB5
NO2,2022-09-03 05:00:00,39.9,LB5
NO2,2022-09-03 06:00:00,44.9,LB5
NO2,2022-09-03 07:00:00,41.3,LB5
NO2,2022-09-03 08:00:00,46.3,LB5
NO2,2022-09-03 09:00:00,41.9,LB5
NO2,2022-09-03 10:00:00,32.7,LB5
NO2,2022-09-03 11:00:00,29.2,LB5
NO2,2022-09-03 12:00:00,30,LB5
NO2,2022-09-03 13:00:00,30.6,LB5
NO2,2022-09-03 14:00:00,24.4,LB5
NO2,2022-09-03 15:00:00,28.2,LB5
NO2,2022-09-03 16:00:00,22.4,LB5
NO2,2022-09-03 17:00:00,29.6,LB5
NO2,2022-09-03 18:00:00,21.9,LB5
NO2,2022-09-03 19:00:00,34.4,LB5
NO2,2022-09-03 20:00:00,30,LB5
NO2,2022-09-03 21:00:00,37.9,LB5
NO2,2022-09-03 22:00:00,40.1,LB5
NO2,2022-09-03 23:00:00,40.1,LB5
NO2,2022-09-04 00:00:00,35.1,LB5
NO2,2022-09-04 01:00:00,14,LB5
NO2,2022-09-04 02:00:00,10.2,LB5
NO2,2022-09-04 03:00:00,19.2,LB5
NO2,2022-09-04 04:00:00,19.1,LB5
NO2,2022-09-04 05:00:00,25.2,LB5
NO2,2022-09-04 06:00:00,23.5,LB5
NO2,2022-09-04 07:00:00,23.9,LB5
NO2,2022-09-04 08:00:00,23.6,LB5
NO2,2022-09-04 09:00:00,19.9,LB5
NO2,2022-09-04 10:00:00,23.8,LB5
NO2,2022-09-04 11:00:00,21.2,LB5
NO2,2022-09-04 12:00:00,25,LB5
NO2,2022-09-04 13:00:00,23.4,LB5
NO2,2022-09-04 14:00:00,16.3,LB5
NO2,2022-09-04 15:00:00,22,LB5
NO2,2022-09-04 16:00:00,32.2,LB5
NO2,2022-09-04 17:00:00,24.1,LB5
NO2,2022-09-04 18:00:00,24.5,LB5
NO2,2022-09-04 19:00:00,17.5,LB5
NO2,2022-09-04 20:00:00,23.9,LB5
NO2,2022-09-04 21:00:00,21.1,LB5
NO2,2022-09-04 22:00:00,25.4,LB5
NO2,2022-09-04 23:00:00,22.3,LB5
NO2,2022-09-05 00:00:00,14.4,LB5
NO2,2022-09-05 01:00:00,15.6,LB5
NO2,2022-09-05 02:00:00,20.7,LB5
NO2,2022-09-05 03:00:00,20.1,LB5
NO2,2022-09-05 04:00:00,19.7,LB5
NO2,2022-09-05 05:00:00,37.1,LB5
NO2,2022-09-05 06:00:00,49.5,LB5
NO2,2022-09-05 07:00:00,54.2,LB5
NO2,2022-09-05 08:00:00,40.2,LB5
NO2,2022-09-05 09:00:00,34.3,LB5
NO2,2022-09-05 10:00:00,30.3,LB5
NO2,2022-09-05 11:00:00,37.5,LB5
NO2,2022-09-05 12:00:00,27.1,LB5
NO2,2022-09-05 13:00:00,33.8,LB5
NO2,2022-09-05 14:00:00,43.3,LB5
NO2,2022-09-05 15:00:00,41.4,LB5
NO2,2022-09-05 16:00:00,28.5,LB5
NO2,2022-09-05 17:00:00,34.4,LB5
NO2,2022-09-05 18:00:00,39,LB5
NO2,2022-09-05 19:00:00,29.8,LB5
NO2,2022-09-05 20:00:00,29.3,LB5
NO2,2022-09-05 21:00:00,30.1,LB5
NO2,2022-09-05 22:00:00,30.4,LB5
NO2,2022-09-05 23:00:00,26.9,LB5
NO2,2022-09-06 00:00:00,25.8,LB5
NO2,2022-09-06 01:00:00,17.8,LB5
NO2,2022-09-06 02:00:00,15.6,LB5
NO2,2022-09-06 03:00:00,19.5,LB5
NO2,2022-09-06 04:00:00,26.6,LB5
NO2,2022-09-06 05:00:00,39.7,LB5
NO2,2022-09-06 06:00:00,45.4,LB5
NO2,2022-09-06 07:00:00,38.4,LB5
NO2,2022-09-06 08:00:00,34,LB5
NO2,2022-09-06 09:00:00,33,LB5
NO2,2022-09-06 10:00:00,26,LB5
NO2,2022-09-06 11:00:00,24.6,LB5
NO2,2022-09-06 12:00:00,24.8,LB5
NO2,2022-09-06 13:00:00,26.5,LB5
NO2,2022-09-06 14:00:00,22.6,LB5
NO2,2022-09-06 15:00:00,26.7,LB5
NO2,2022-09-06 16:00:00,29.2,LB5
NO2,2022-09-06 17:00:00,24.5,LB5
NO2,2022-09-06 18:00:00,29.4,LB5
