@SpeciesCode,@MeasurementDateGMT,@Value,SiteCode
NO2,2023-09-01 00:00:00,14.3,LW4
NO2,2023-09-01 01:00:00,5.1,LW4
NO2,2023-09-01 02:00:00,3.4,LW4
NO2,2023-09-01 03:00:00,6.8,LW4
NO2,2023-09-01 04:00:00,8.6,LW4
NO2,2023-09-01 05:00:00,22.5,LW4
NO2,2023-09-01 06:00:00,31.6,LW4
NO2,2023-09-01 07:00:00,31.5,LW4
NO2,2023-09-01 08:00:00,28.7,LW4
NO2,2023-09-01 09:00:00,29.3,LW4
NO2,2023-09-01 10:00:00,32.9,LW4
NO2,2023-09-01 11:00:00,33.3,LW4
NO2,2023-09-01 12:00:00,34.4,LW4
NO2,2023-09-01 13:00:00,37.3,LW4
NO2,2023-09-01 14:00:00,29.8,LW4
NO2,2023-09-01 15:00:00,45.8,LW4
NO2,2023-09-01 16:00:00,39.7,LW4
NO2,2023-09-01 17:00:00,51.9,LW4
NO2,2023-09-01 18:00:00,60.1,LW4
NO2,2023-09-01 19:00:00,45.9,LW4
NO2,2023-09-01 20:00:00,38.3,LW4
NO2,2023-09-01 21:00:00,35.2,LW4
NO2,2023-09-01 22:00:00,26.8,LW4
NO2,2023-09-01 23:00:00,16,LW4
NO2,2023-09-02 00:00:00,15.5,LW4
NO2,2023-09-02 01:00:00,4.8,LW4
NO2,2023-09-02 02:00:00,7.2,LW4
NO2,2023-09-02 03:00:00,7.1,LW4
NO2,2023-09-02 04:00:00,10.1,LW4
NO2,2023-09-02 05:00:00,12.4,LW4
NO2,2023-09-02 06:00:00,13,LW4
NO2,2023-09-02 07:00:00,18,LW4
NO2,2023-09-02 08:00:00,16.3,LW4
NO2,2023-09-02 09:00:00,16.3,LW4
NO2,2023-09-02 10:00:00,22.2,LW4
NO2,2023-09-02 11:00:00,23.3,LW4
NO2,2023-09-02 12:00:00,23.2,LW4
NO2,2023-09-02 13:00:00,22.7,LW4
NO2,2023-09-02 14:00:00,28.5,LW4
NO2,2023-09-02 15:00:00,22.6,LW4
NO2,2023-09-02 16:00:00,26.1,LW4
NO2,2023-09-02 17:00:00,26.8,LW4
NO2,2023-09-02 18:00:00,20.5,LW4
NO2,2023-09-02 19:00:00,29,LW4
NO2,2023-09-02 20:00:00,28.2,LW4
NO2,2023-09-02 21:00:00,24.4,LW4
NO2,2023-09-02 22:00:00,24,LW4
NO2,2023-09-02 23:00:00,24.3,LW4
NO2,2023-09-03 00:00:00,14.5,LW4
NO2,2023-09-03 01:00:00,12.1,LW4
NO2,2023-09-03 02:00:00,7.2,LW4
NO2,2023-09-03 03:00:00,14.6,LW4
NO2,2023-09-03 04:00:00,19.4,LW4
NO2,2023-09-03 05:00:00,20.1,LW4
NO2,2023-09-03 06:00:00,20,LW4
NO2,2023-09-03 07:00:00,30.2,LW4
NO2,2023-09-03 08:00:00,25,LW4
NO2,2023-09-03 09:00:00,30.2,LW4
NO2,2023-09-03 10:00:00,22.1,LW4
NO2,2023-09-03 11:00:00,35.3,LW4
NO2,2023-09-03 12:00:00,26.9,LW4
NO2,2023-09-03 13:00:00,40.3,LW4
NO2,2023-09-03 14:00:00,35.8,LW4
NO2,2023-09-03 15:00:00,32.8,LW4
NO2,2023-09-03 16:00:00,36.7,LW4
NO2,2023-09-03 17:00:00,21.4,LW4
NO2,2023-09-03 18:00:00,21.5,LW4
NO2,2023-09-03 19:00:00,31.1,LW4
NO2,2023-09-03 20:00:00,32.8,LW4
NO2,2023-09-03 21:00:00,34.4,LW4
NO2,2023-09-03 22:00:00,39.4,LW4
NO2,2023-09-03 23:00:00,37.2,LW4
NO2,2023-09-04 00:00:00,29.8,LW4
NO2,2023-09-04 01:00:00,24.3,LW4
NO2,2023-09-04 02:00:00,21.1,LW4
NO2,2023-09-04 03:00:00,18.6,LW4
NO2,2023-09-04 04:00:00,27.7,LW4
NO2,2023-09-04 05:00:00,42.9,LW4
NO2,2023-09-04 06:00:00,48.8,LW4
NO2,2023-09-04 07:00:00,48.9,LW4
NO2,2023-09-04 08:00:00,49.5,LW4
NO2,2023-09-04 09:00:00,43.1,LW4
NO2,2023-09-04 10:00:00,46.8,LW4
NO2,2023-09-04 11:00:00,38.8,LW4
NO2,2023-09-04 12:00:00,47.7,LW4
NO2,2023-09-04 13:00:00,37.8,LW4
NO2,2023-09-04 14:00:00,,LW4
NO2,2023-09-04 15:00:00,46.7,LW4
NO2,2023-09-04 16:00:00,50.4,LW4
NO2,2023-09-04 17:00:00,41.8,LW4
NO2,2023-09-04 18:00:00,40,LW4
NO2,2023-09-04 19:00:00,44.3,LW4
NO2,2023-09-04 20:00:00,28.5,LW4
NO2,2023-09-04 21:00:00,21.4,LW4
NO2,2023-09-04 22:00:00,24.8,LW4
NO2,2023-09-04 23:00:00,27.7,LW4
NO2,2023-09-05 00:00:00,27.8,LW4
NO2,2023-09-05 01:00:00,20.9,LW4
NO2,2023-09-05 02:00:00,24.7,LW4
NO2,2023-09-05 03:00:00,24,LW4
NO2,2023-09-05 04:00:00,22.7,LW4
NO2,2023-09-05 05:00:00,47.5,LW4
NO2,2023-09-05 06:00:00,46,LW4
NO2,2023-09-05 07:00:00,42.1,LW4
NO2,2023-09-05 08:00:00,45.1,LW4
NO2,2023-09-05 09:00:00,45.7,LW4
NO2,2023-09-05 10:00:00,41.4,LW4
NO2,2023-09-05 11:00:00,31.2,LW4
NO2,2023-09-05 12:00:00,34.2,LW4
NO2,2023-09-05 13:00:00,41.1,LW4
NO2,2023-09-05 14:00:00,37.4,LW4
NO2,2023-09-05 15:00:00,44,LW4
NO2,2023-09-05 16:00:00,41.5,LW4
NO2,2023-09-05 17:00:00,48.9,LW4
NO2,2023-09-05 18:00:00,50,LW4
NO2,2023-09-05 19:00:00,58.3,LW4
NO2,2023-09-05 20:00:00,64.8,LW4
NO2,2023-09-05 21:00:00,57.2,LW4
NO2,2023-09-05 22:00:00,66.4,LW4
NO2,2023-09-05 23:00:00,61.4,LW4
NO2,2023-09-06 00:00:00,60,LW4
NO2,2023-09-06 01:00:00,47.8,LW4
NO2,2023-09-06 02:00:00,38.2,LW4
NO2,2023-09-06 03:00:00,41.2,LW4
NO2,2023-09-06 04:00:00,44.9,LW4
NO2,2023-09-06 05:00:00,52.7,LW4
NO2,2023-09-06 06:00:00,70.8,LW4
NO2,2023-09-06 07:00:00,74.8,LW4
NO2,2023-09-06 08:00:00,73.2,LW4
NO2,2023-09-06 09:00:00,71.1,LW4
NO2,2023-09-06 10:00:00,74,LW4
NO2,2023-09-06 11:00:00,54.2,LW4
NO2,2023-09-06 12:00:00,56.4,LW4
NO2,2023-09-06 13:00:00,61.1,LW4
NO2,2023-09-06 14:00:00,55.9,LW4
NO2,2023-09-06 15:00:00,64,LW4
NO2,2023-09-06 16:00:00,74.2,LW4
NO2,2023-09-06 17:00:00,82.4,LW4
NO2,2023-09-06 18:00:00,67.9,LW4
NO2,2023-09-06 19:00:00,69.7,LW4
NO2,2023-09-06 20:00:00,59.4,LW4
NO2,2023-09-06 21:00:00,47.5,LW4
NO2,2023-09-06 22:00:00,47.3,LW4
NO2,2023-09-06 23:00:00,40.2,LW4
NO2,2023-09-07 00:00:00,30.5,LW4
NO2,2023-09-07 01:00:00,27.4,LW4
NO2,2023-09-07 02:00:00,17.2,LW4
NO2,2023-09-07 03:00:00,21.7,LW4
NO2,2023-09-07 04:00:00,29.6,LW4
NO2,2023-09-07 05:00:00,48.2,LW4
NO2,2023-09-07 06:00:00,57.8,LW4
NO2,2023-09-07 07:00:00,54,LW4
NO2,2023-09-07 08:00:00,66.5,LW4
NO2,2023-09-07 09:00:00,71.4,LW4
NO2,2023-09-07 10:00:00,63.6,LW4
NO2,2023-09-07 11:00:00,55.3,LW4
NO2,2023-09-07 12:00:00,50.4,LW4
NO2,2023-09-07 13:00:00,50.4,LW4
NO2,2023-09-07 14:00:00,90.8,LW4
NO2,2023-09-07 15:00:00,74.8,LW4
NO2,2023-09-07 16:00:00,94.8,LW4
NO2,2023-09-07 17:00:00,82.7,LW4
NO2,2023-09-07 18:00:00,77.4,LW4
NO2,2023-09-07 19:00:00,78.4,LW4
NO2,2023-09-07 20:00:00,71.9,LW4
NO2,2023-09-07 21:00:00,67,LW4
NO2,2023-09-07 22:00:00,75,LW4
NO2,2023-09-07 23:00:00,72.4,LW4
NO2,2023-09-08 00:00:00,44.9,LW4
NO2,2023-09-08 01:00:00,37,LW4
NO2,2023-09-08 02:00:00,26.5,LW4
NO2,2023-09-08 03:00:00,24.7,LW4
NO2,2023-09-08 04:00:00,40,LW4
NO2,2023-09-08 05:00:00,50.2,LW4
NO2,2023-09-08 06:00:00,59.5,LW4
NO2,2023-09-08 07:00:00,70.8,LW4
NO2,2023-09-08 08:00:00,92.6,LW4
NO2,2023-09-08 09:00:00,81.6,LW4
NO2,2023-09-08 10:00:00,122.1,LW4
NO2,2023-09-08 11:00:00,113.9,LW4
NO2,2023-09-08 12:00:00,116,LW4
NO2,2023-09-08 13:00:00,156.5,LW4
NO2,2023-09-08 14:00:00,104.1,LW4
NO2,2023-09-08 15:00:00,78.5,LW4
NO2,2023-09-08 16:00:00,100.1,LW4
NO2,2023-09-08 17:00:00,119.8,LW4
NO2,2023-09-08 18:00:00,173.2,LW4
NO2,2023-09-08 19:00:00,82.6,LW4
NO2,2023-09-08 20:00:00,66,LW4
NO2,2023-09-08 21:00:00,72.2,LW4
NO2,2023-09-08 22:00:00,82.8,LW4
NO2,2023-09-08 23:00:00,71.3,LW4
NO2,2023-09-09 00:00:00,50.7,LW4
NO2,2023-09-09 01:00:00,37.8,LW4
NO2,2023-09-09 02:00:00,27.4,LW4
NO2,2023-09-09 03:00:00,24.5,LW4
NO2,2023-09-09 04:00:00,25.2,LW4
NO2,2023-09-09 05:00:00,22.2,LW4
NO2,2023-09-09 06:00:00,28.4,LW4
NO2,2023-09-09 07:00:00,69,LW4
NO2,2023-09-09 08:00:00,115.6,LW4
NO2,2023-09-09 09:00:00,82.5,LW4
NO2,2023-09-09 10:00:00,64.6,LW4
NO2,2023-09-09 11:00:00,77.8,LW4
NO2,2023-09-09 12:00:00,72,LW4
NO2,2023-09-09 13:00:00,73.8,LW4
NO2,2023-09-09 14:00:00,49.4,LW4
NO2,2023-09-09 15:00:00,51.4,LW4
NO2,2023-09-09 16:00:00,54.6,LW4
NO2,2023-09-09 17:00:00,83,LW4
NO2,2023-09-09 18:00:00,54.1,LW4
NO2,2023-09-09 19:00:00,45.5,LW4
NO2,2023-09-09 20:00:00,60.5,LW4
NO2,2023-09-09 21:00:00,62.9,LW4
NO2,2023-09-09 22:00:00,77.1,LW4
NO2,2023-09-09 23:00:00,93.7,LW4
NO2,2023-09-10 00:00:00,85.4,LW4
NO2,2023-09-10 01:00:00,67.1,LW4
NO2,2023-09-10 02:00:00,56.1,LW4
NO2,2023-09-10 03:00:00,69.2,LW4
NO2,2023-09-10 04:00:00,57.6,LW4
NO2,2023-09-10 05:00:00,46.6,LW4
NO2,2023-09-10 06:00:00,44.3,LW4
NO2,2023-09-10 07:00:00,50.1,LW4
NO2,2023-09-10 08:00:00,50.1,LW4
NO2,2023-09-10 09:00:00,61.7,LW4
NO2,2023-09-10 10:00:00,49.8,LW4
NO2,2023-09-10 11:00:00,49.9,LW4
NO2,2023-09-10 12:00:00,67.4,LW4
NO2,2023-09-10 13:00:00,99.2,LW4
NO2,2023-09-10 14:00:00,117.3,LW4
NO2,2023-09-10 15:00:00,137.7,LW4
NO2,2023-09-10 16:00:00,141.1,LW4
NO2,2023-09-10 17:00:00,156.2,LW4
NO2,2023-09-10 18:00:00,179.4,LW4
NO2,2023-09-10 19:00:00,102.2,LW4
NO2,2023-09-10 20:00:00,33.6,LW4
NO2,2023-09-10 21:00:00,54.7,LW4
NO2,2023-09-10 22:00:00,58.6,LW4
NO2,2023-09-10 23:00:00,123.2,LW4
NO2,2023-09-11 00:00:00,116.1,LW4
NO2,2023-09-11 01:00:00,108.4,LW4
NO2,2023-09-11 02:00:00,92.4,LW4
NO2,2023-09-11 03:00:00,126.7,LW4
NO2,2023-09-11 04:00:00,121.7,LW4
NO2,2023-09-11 05:00:00,113.9,LW4
NO2,2023-09-11 06:00:00,148.8,LW4
