@SpeciesCode,@MeasurementDateGMT,@Value,SiteCode
NO2,2024-03-01 00:00:00,39.8,TH4
NO2,2024-03-01 01:00:00,40.9,TH4
NO2,2024-03-01 02:00:00,31.8,TH4
NO2,2024-03-01 03:00:00,20.5,TH4
NO2,2024-03-01 04:00:00,22.1,TH4
NO2,2024-03-01 05:00:00,24.3,TH4
NO2,2024-03-01 06:00:00,26.8,TH4
NO2,2024-03-01 07:00:00,26.4,TH4
NO2,2024-03-01 08:00:00,26.5,TH4
NO2,2024-03-01 09:00:00,40.5,TH4
NO2,2024-03-01 10:00:00,38.7,TH4
NO2,2024-03-01 11:00:00,36.5,TH4
NO2,2024-03-01 12:00:00,30.4,TH4
NO2,2024-03-01 13:00:00,39.3,TH4
NO2,2024-03-01 14:00:00,41,TH4
NO2,2024-03-01 15:00:00,44.8,TH4
NO2,2024-03-01 16:00:00,40.1,TH4
NO2,2024-03-01 17:00:00,54.1,TH4
NO2,2024-03-01 18:00:00,54.9,TH4
NO2,2024-03-01 19:00:00,42.5,TH4
NO2,2024-03-01 20:00:00,34.5,TH4
NO2,2024-03-01 21:00:00,41.7,TH4
NO2,2024-03-01 22:00:00,38.5,TH4
NO2,2024-03-01 23:00:00,28,TH4
NO2,2024-03-02 00:00:00,26,TH4
NO2,2024-03-02 01:00:00,22,TH4
NO2,2024-03-02 02:00:00,17,TH4
NO2,2024-03-02 03:00:00,14.5,TH4
NO2,2024-03-02 04:00:00,13.2,TH4
NO2,2024-03-02 05:00:00,15.3,TH4
NO2,2024-03-02 06:00:00,17.5,TH4
NO2,2024-03-02 07:00:00,23.9,TH4
NO2,2024-03-02 08:00:00,23.2,TH4
NO2,2024-03-02 09:00:00,21.8,TH4
NO2,2024-03-02 10:00:00,26.1,TH4
NO2,2024-03-02 11:00:00,34.6,TH4
NO2,2024-03-02 12:00:00,30,TH4
NO2,2024-03-02 13:00:00,28.5,TH4
NO2,2024-03-02 14:00:00,30.5,TH4
NO2,2024-03-02 15:00:00,33.3,TH4
NO2,2024-03-02 16:00:00,39.3,TH4
NO2,2024-03-02 17:00:00,55.8,TH4
NO2,2024-03-02 18:00:00,66.6,TH4
NO2,2024-03-02 19:00:00,68.8,TH4
NO2,2024-03-02 20:00:00,54.5,TH4
NO2,2024-03-02 21:00:00,65.4,TH4
NO2,2024-03-02 22:00:00,72.8,TH4
NO2,2024-03-02 23:00:00,78.6,TH4
NO2,2024-03-03 00:00:00,69.7,TH4
NO2,2024-03-03 01:00:00,53.2,TH4
NO2,2024-03-03 02:00:00,45.7,TH4
NO2,2024-03-03 03:00:00,38.4,TH4
NO2,2024-03-03 04:00:00,33.5,TH4
NO2,2024-03-03 05:00:00,35,TH4
NO2,2024-03-03 06:00:00,42.9,TH4
NO2,2024-03-03 07:00:00,47.8,TH4
NO2,2024-03-03 08:00:00,50,TH4
NO2,2024-03-03 09:00:00,47.7,TH4
NO2,2024-03-03 10:00:00,51.2,TH4
NO2,2024-03-03 11:00:00,52.5,TH4
NO2,2024-03-03 12:00:00,40.7,TH4
NO2,2024-03-03 13:00:00,40.7,TH4
NO2,2024-03-03 14:00:00,46.1,TH4
NO2,2024-03-03 15:00:00,44,TH4
NO2,2024-03-03 16:00:00,48.5,TH4
NO2,2024-03-03 17:00:00,58.6,TH4
NO2,2024-03-03 18:00:00,48,TH4
NO2,2024-03-03 19:00:00,58,TH4
NO2,2024-03-03 20:00:00,58.4,TH4
NO2,2024-03-03 21:00:00,69.8,TH4
NO2,2024-03-03 22:00:00,61.3,TH4
NO2,2024-03-03 23:00:00,62.1,TH4
NO2,2024-03-04 00:00:00,62.5,TH4
NO2,2024-03-04 01:00:00,68.2,TH4
NO2,2024-03-04 02:00:00,61,TH4
NO2,2024-03-04 03:00:00,59.1,TH4
NO2,2024-03-04 04:00:00,54.1,TH4
NO2,2024-03-04 05:00:00,48.2,TH4
NO2,2024-03-04 06:00:00,51.7,TH4
NO2,2024-03-04 07:00:00,64.3,TH4
NO2,2024-03-04 08:00:00,62.1,TH4
NO2,2024-03-04 09:00:00,41.4,TH4
NO2,2024-03-04 10:00:00,41.6,TH4
NO2,2024-03-04 11:00:00,33.4,TH4
NO2,2024-03-04 12:00:00,28.1,TH4
NO2,2024-03-04 13:00:00,26.2,TH4
NO2,2024-03-04 14:00:00,35.5,TH4
NO2,2024-03-04 15:00:00,39.4,TH4
NO2,2024-03-04 16:00:00,38.1,TH4
NO2,2024-03-04 17:00:00,31,TH4
NO2,2024-03-04 18:00:00,22.4,TH4
NO2,2024-03-04 19:00:00,32.6,TH4
NO2,2024-03-04 20:00:00,26.3,TH4
NO2,2024-03-04 21:00:00,26.3,TH4
NO2,2024-03-04 22:00:00,19.5,TH4
NO2,2024-03-04 23:00:00,16.3,TH4
NO2,2024-03-05 00:00:00,18.3,TH4
NO2,2024-03-05 01:00:00,17.3,TH4
NO2,2024-03-05 02:00:00,15.7,TH4
NO2,2024-03-05 03:00:00,15.2,TH4
NO2,2024-03-05 04:00:00,15.4,TH4
NO2,2024-03-05 05:00:00,19.5,TH4
NO2,2024-03-05 06:00:00,27.5,TH4
NO2,2024-03-05 07:00:00,37.5,TH4
NO2,2024-03-05 08:00:00,58.7,TH4
NO2,2024-03-05 09:00:00,52.8,TH4
NO2,2024-03-05 10:00:00,54,TH4
NO2,2024-03-05 11:00:00,45.5,TH4
